nombre actividad,nivel, tag,tag,tag,tag,tag,tag
Introducción a HTML, basico,HTML, Conceptos básicos, introducción
Creación de estructuras básicas de HTML, basico,HTML, estructuras, básico
Introducción a CSS,básico,CSS, Conceptos básicos, introducción
Aplicación de estilos con CSS,Intermedio,CSS,estilos,aplicación
Introducción a JavaScript,basico,JavaScript,Conceptos básicos,introducción
Variables y tipos de datos en JavaScript,basico,JavaScript,variables,tipos de datos
Operadores y expresiones en JavaScript,Intermedio,JavaScript,operadores,expresiones
Control de flujo en JavaScript,Intermedio,JavaScript, control de flujo
Funciones en JavaScript,Intermedio,JavaScript,funciones
Arrays y objetos en JavaScript,Intermedio,JavaScript,arrays,objetos
Introducción a React,basico,React, Conceptos básicos, introducción
Comprensión de los nodos y la estructura del DOM,basico,introducción,DOM, JavaScript
Selección y manipulación de elementos en el DOM con JavaScript,basico,Selección DOM, Manipulación DOM, JavaScript Básico
Modificación de estilos CSS en elementos del DOM,basico,Estilos DOM, CSS, JavaScript
Trabajo con eventos en el DOM,Intermedio,eventos, Javascript
Uso de JavaScript para crear y manipular elementos dinámicos en el DOM, Intermedio,DOM,Javascript
Instalación y configuración del entorno,basico,React,configuración, entorno de desarrollo
Creación de componentes,Intermedio,React, componentes
JSX y renderizado de componentes,Intermedio,React, JSX, renderizado
Props y estado,Intermedio,React, props, estado, componentes
Manejo de eventos,Intermedio,React, eventos
Formularios y validación,Intermedio,React, formularios, validacion
Uso de hooks,Intermedio, React, hooks
Comunicación entre componentes,Intermedio,React, comunicación entre componentes
Ruteo con React Router,Intermedio, React, ruteo
Llamadas a API y manejo de datos externos,Intermedio,React, API, manejo de datos externos
Optimización de rendimiento,Avanzado,React, optimización de rendimiento
Uso de librerías externas,Intermedio,React, librerías externas
Desarrollo de aplicaciones con React y Redux,Avanzado,React, Redux, aplicaciones
Testeo y debugging,Intermedio,React, testeo, debugging
Creación de componentes personalizados, Intermedio,React, componentes personalizados
Uso de context API,Intermedio,React, context API
Integración de React con otros frameworks,Avanzado,React, integración con otros frameworks
Desarrollo de aplicaciones con React Native,Avanzado,React, React Native, aplicaciones
Creación de grillas y estilos responsivos,Intermedio,React, grillas, estilos responsivos
Creación de animaciones y efectos con React,Intermedio,React, animaciones, efectos
Integración con bases de datos,Avanzado,React, integración con bases de datos
Creación de dashboards y tableros de control,Avanzado,React, dashboards, tableros de control
Desarrollo de aplicaciones con React y GraphQL,Avanzado,React, GraphQL, aplicaciones
Creación de proyectos con React y Next.js,Intermedio a Avanzado, React, Next.js, proyectos
Creación de formularios y validación de datos,Intermedio,React, formularios, validación de datos
Creación de componentes con estado y ciclo de vida,Intermedio,React, componentes con estado, ciclo de vida
Desarrollo de aplicaciones con React y Redux,Avanzado,React, Redux, aplicaciones
Creación de componentes con hooks,Intermedio,React, componentes con hooks
Integración con APIs externas, Intermedio a Avanzado,React, integración con APIs externas
Creación de aplicaciones con React y TypeScript,Avanzado, React, TypeScript, aplicaciones
Creación de rutas y navegación en aplicaciones con React,Intermedio, React, rutas, navegación
Uso de librerías externas con React,Intermedio a Avanzado,React, librerías externas
Creación de componentes con React y Material-UI,Intermedio,React, Material-UI, componentes
Desarrollo de aplicaciones con React y Gatsby,Intermedio a Avanzado,React, Gatsby, aplicaciones
Creación de aplicaciones con React y Server Side Rendering,Avanzado,React, Server Side Rendering, aplicaciones
